customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,customer_status
CUST00001,Male,Yes,No,No,11,No,No phone service,DSL,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),4008.19,44090.09,Active
CUST00002,Female,No,Yes,No,10,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,4409.39,44093.9,Churned
CUST00003,Female,No,Yes,Yes,12,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),4486.64,53839.68,Active
CUST00004,Female,No,No,No,70,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,4512.78,315894.6,Active
CUST00005,Male,Yes,No,No,36,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),6163.53,221887.08,Churned
CUST00006,Male,No,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),2741.73,13708.65,Churned
CUST00007,Male,No,Yes,Yes,21,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),5006.48,105136.08,Active
CUST00008,Female,No,No,No,61,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,5643.88,344276.68,Active
CUST00009,Female,No,No,No,12,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,5970.63,71647.56,Churned
CUST00010,Female,No,No,Yes,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),2734.14,2734.14,Active
CUST00011,Male,No,No,Yes,59,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),4178.79,246548.61,Churned
CUST00012,Female,No,No,No,18,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),4634.97,83429.46,Active
CUST00013,Female,Yes,No,Yes,62,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),2137.83,132545.46,Active
CUST00014,Male,No,No,Yes,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),2548.21,150344.39,Active
CUST00015,Male,No,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),2894.94,2894.94,Churned
CUST00016,Male,No,No,No,33,No,No phone service,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Mailed check,5304.94,175063.02,Active
